group,month,num
Senior,-11,0.22161825653607534
Senior,-10,0.22697058807036846
Senior,-9,0.22850063508990406
Senior,-8,0.21833702851901785
Senior,-7,0.23211649853476016
Senior,-6,0.24663072519991233
Senior,-5,0.2606318011364004
Senior,-4,0.2751410741056175
Senior,-3,0.29840394382929286
Senior,-2,0.29850606208841396
Senior,-1,0.3753863096426637
Senior,0,0.47551086270147197
Senior,1,0.4560537917613541
Senior,2,0.3985552643005616
Senior,3,0.3587019816101098
Senior,4,0.3743046584203234
Senior,5,0.4337517650710955
Senior,6,0.3722883050777625
Senior,7,0.33146385051596194
Senior,8,0.31295075200382744
Senior,9,0.32631772926721125
Senior,10,0.3246902548038598
Senior,11,0.33141568712638697
Senior,12,0.30800238921905043
New,-11,0.11704842589687274
New,-10,0.09919203012237215
New,-9,0.09069135027716765
New,-8,0.09653801903566571
New,-7,0.13641355506746156
New,-6,0.15254680472753895
New,-5,0.1289367519835044
New,-4,0.1320199620482018
New,-3,0.14192702496750192
New,-2,0.17605376006693862
New,-1,0.1886458380025998
New,0,0.3042307290032424
New,1,0.3079885546939203
New,2,0.2290293902311474
New,3,0.20656835059094233
New,4,0.16826168810793846
New,5,0.14357807760694483
New,6,0.11711641041732036
New,7,0.09525154272565631
New,8,0.09489070180943412
New,9,0.11933898127810905
New,10,0.10725865495241081
New,11,0.09789770944461876
New,12,0.09862985043405503
